Key Display	Description	Category	c definition	JS Keycode
A		Alphabet	KC_A	65
B		Alphabet	KC_B	66
C		Alphabet	KC_C	67
D		Alphabet	KC_D	68
E		Alphabet	KC_E	69
F		Alphabet	KC_F	70
G		Alphabet	KC_G	71
H		Alphabet	KC_H	72
I		Alphabet	KC_I	73
J		Alphabet	KC_J	74
K		Alphabet	KC_K	75
L		Alphabet	KC_L	76
M		Alphabet	KC_M	77
N		Alphabet	KC_N	78
O		Alphabet	KC_O	79
P		Alphabet	KC_P	80
Q		Alphabet	KC_Q	81
R		Alphabet	KC_R	82
S		Alphabet	KC_S	83
T		Alphabet	KC_T	84
U		Alphabet	KC_U	85
V		Alphabet	KC_V	86
W		Alphabet	KC_W	87
X		Alphabet	KC_X	88
Y		Alphabet	KC_Y	89
Z		Alphabet	KC_Z	90
1		Numeric	KC_1	49
2		Numeric	KC_2	50
3		Numeric	KC_3	51
4		Numeric	KC_4	52
5		Numeric	KC_5	53
6		Numeric	KC_6	54
7		Numeric	KC_7	55
8		Numeric	KC_8	56
9		Numeric	KC_9	57
0		Numeric	KC_0	48
⏎	Enter	Spacing	KC_ENTER	13
⎋	Escape	Spacing	KC_ESCAPE	27
⌫	Backspace	Spacing	KC_BSPACE	8
⇥	Tab	Spacing	KC_TAB	9
⎵	Space	Spacing	KC_SPACE	32
fn0		Fn	KC_FN0	850
fn1		Fn	KC_FN1	851
fn2		Fn	KC_FN2	852
fn3		Fn	KC_FN3	853
fn4		Fn	KC_FN4	854
fn5		Fn	KC_FN5	855
fn6		Fn	KC_FN6	856
fn7		Fn	KC_FN7	857
fn8		Fn	KC_FN8	858
fn9		Fn	KC_FN9	859
fn10		Fn	KC_FN10	860
fn11		Fn	KC_FN11	861
fn12		Fn	KC_FN12	862
fn13		Fn	KC_FN13	863
fn14		Fn	KC_FN14	864
fn15		Fn	KC_FN15	865
fn16		Fn	KC_FN16	866
fn17		Fn	KC_FN17	867
fn18		Fn	KC_FN18	868
fn19		Fn	KC_FN19	869
fn20		Fn	KC_FN20	870
fn21		Fn	KC_FN21	871
fn22		Fn	KC_FN22	872
fn23		Fn	KC_FN23	873
fn24		Fn	KC_FN24	874
fn25		Fn	KC_FN25	875
fn26		Fn	KC_FN26	876
fn27		Fn	KC_FN27	877
fn28		Fn	KC_FN28	879
fn29		Fn	KC_FN29	880
fn30		Fn	KC_FN30	881
fn31		Fn	KC_FN31	882
F1		Function keys	KC_F1	112
F2		Function keys	KC_F2	113
F3		Function keys	KC_F3	114
F4		Function keys	KC_F4	115
F5		Function keys	KC_F5	116
F6		Function keys	KC_F6	117
F7		Function keys	KC_F7	118
F8		Function keys	KC_F8	119
F9		Function keys	KC_F9	120
F10		Function keys	KC_F10	121
F11		Function keys	KC_F11	122
F12		Function keys	KC_F12	123
F13		Function keys	KC_F13	124
F14		Function keys	KC_F14	125
F15		Function keys	KC_F15	126
F16		Function keys	KC_F16	127
F17		Function keys	KC_F17	128
F18		Function keys	KC_F18	129
F19		Function keys	KC_F19	130
F20		Function keys	KC_F20	131
F21		Function keys	KC_F21	132
F22		Function keys	KC_F22	133
F23		Function keys	KC_F23	134
F24		Function keys	KC_F24	135
DF0		Layer switch	DF(0)	1100
DF1		Layer switch	DF(1)	1101
DF2		Layer switch	DF(2)	1102
DF3		Layer switch	DF(3)	1103
DF4		Layer switch	DF(4)	1104
DF5		Layer switch	DF(5)	1105
DF6		Layer switch	DF(6)	1106
DF7		Layer switch	DF(7)	1107
DF8		Layer switch	DF(8)	1108
DF9		Layer switch	DF(9)	1109
DF10		Layer switch	DF(10)	1110
